Original_Sequence_Hex,Reconstructed_Sequence_Bytes,Label_True,Label_Pred,Mean_LogProb,Min_LogProb
736263687a75616e76616f7a69706c7066756770696d75 626d6f6163727a6f616c72656f69767a7674757a6167616c6d6e66636974636976736375 74716f7a6373666963686461636c656261662d686973646a6661656f74 706574737575676774646c6c636f6d6f6f7a217465 6e6e757a74636674646f7a7675686f67726e6263737a69,6bchzuanvaoz7plpfufpimu  ooicrz6al6eovvzf7uzagalmnf6itcivscu tq6zfsfic66cc66baf-hisdjf6ttt petsuu7gtlllcomooh!ee nnu6tcftd7mvuhogrnbcszi7e66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.7958245,-17.645487
616869636275757462676970627a6863666274696e737a6c75756f686e766f70686f7675 6c6e75716e74627a706f63726c76756d6466646e6c667a706966687364767721676d71766e636e73646c72726478626f72 6d6571706967756372656e6b7a6d2d667a6c646662766476746f64726c73776c746c 677473717166796367717262786c62696e696c657172746d75236767696e7a78407073766f68697a6768657273647262786f 71716c677a6670677a626c676c6166727271756f636d766c766e7162626e6c706c696c6562726e6d646d74687061616872616c,6iicbu76bgipbzhcf6iiaadluuoh7vop7ovu lniqhfbzpocrlvumdf7nlfzpifhsdvw!gmqvn6nsdl6ewwo6gqmqq6ifuzrenkm-f6l7fbvd7t7drlswl7l  tsqqfffqqr7xlb6nil6qr7m7#giin6x@psvohizghzr6drbxo6qqlgzo6blo6aaa6r7auocrvlvn   llfaeeefaemdmt6paahral  6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.401981,-12.707566
74737463616a6221646171636273707170766776666473 696c6761626874637465716f7167697373706968726172646f7a63636d70617a6772 61716f696e6e6267637175216b7a616f75686b6c70713f7162716266646a76626567752d7a7365686c6a627677 64686476766768616974666d63676167696f6c686c616e 6c6d66707473686c726263646465746976726275706c736c6c6e61626765687273726d6d74726c717263706e73656f61,6e7cajb!daqcbspqvgvfds7iaalbhtcte6qgissp7hraddozccmpazgraaqcinnbgcq6 kzaou7klpq?qbqbfdjvbegu-zsehljbvw dhdvggh7itfmc6agiojh7a6 lmfpts7lrbcdde7ivr76plnllnabgehrmmmmt7lqr7pnszoa7e666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.64084,-11.706564
7566656c686e6561737165746c637566677a686161636d67646366736369767a63647673746c6e6c65716d7673697a66 62747062696c626f7364726c6e68726968756e677674617075 656f76676c64694074737767757465627a77766870 7267646c756d6d7071626670767363706f6c6d7476766c6766756f707a 70706d7271706f70726f6d70737170626b6571687469746a7576656f6c627a6f70756f,6felhnea6qe76cufgfhaemgd6fscivz1flstlil6qmvaizf bhpbioooddllnhqihangttap  eevgldi@tsegutebzwhhy egdlummpqbf6vccponmtvvlgffo   ppmrqpoprompsqpbkeqktitjuveoizzopuo  666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.4020867,-15.36774
6f6f7a6f646e6e7a7364616d70656d63696c687371 666e73767a6761736d63706c6564716f687269706d74736371757673676c616f64677261717065747169736374 6e6263697176646174716f71656d7a62667376616d71727265707369646572676776736c62676d6964617168677a6964707367616768647665617468 616462666872756c677671716275716f7170736c647665 66747069727161696e646e6e667068766e696c726d69706667696f71626375756f6c696f69687163616e6f766d6964717466706f6e,6ddndnnzs3a6eemiilhsq fnsvzga7ecpledqohripm6s7quvsglaodgi7qqet76sct  dciqvaatoq6mz6fs7a6eeeepside7ggvslbgmidaqiezidpsgaghdveath  d6epqllgiqqbuoqpfl6vedf6p6rqaifnffphv6iprmipfgio7bcuu7lioihqdanovmidqtfp7nof6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.412385,-12.475931
7172667565727a64627a736d696c6f70636e657a73646f66666e74717a7669646c6361 746c6c66636f6570686963716461696f70676475677363667675617a616d75736c6c6d70 6f6573757575637264756c72736f6c63767a67766f736667746164707273 676167756f68697061646c7065626574706371706c70746266626f6273 7a6c6f6e766371737a7167636e6469656f647666617a75616573656f7566616673637375646866696c756f7a6274636e68656f6963626561,6rfuer6dbwsmilo7cnezsd6ffntqzvid6ca  llccodphicqdai6p7dugs6fvuamamusllmp6 ssu777rdul7solcvzgv1sfgfadprs  agoohia6llpdbetpcqppptbfbobs  lnn6cosz6gcndieoev6azuaeeeoff6fscsudhfil6o6btcn6eoicbea  66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.435945,-13.887792
7a626665626e716c766d706675746e7272756d6d6470646e6464687363696e7a72716366676e676e61646c76696d6d706d7563 7667636e7a746d6969616d6d627275697370706f6f7a667a6c7065657a6f6275756d656762666e7164686766696f6c6676667072 7363646c73616d7663706f6574626472667468706661666d6c6d646c616866626d6c636474737165677065766573676266 756162666264706f66716e6f62657471706373747171626c696f6862 766e66637276646962757a6665736f68756e64687a71666c716e6d6972,6bfebnqlv6pfutnrrummd6dnddddc6nz6qcqgng6ddlv7mmpmuc  ncnz6iiiazm6r7ispdozzfzlcezzobuumegbfnqdh77iolfvf6r  cdlsae66poet77pfthpdammlmzlahfbmlcqtsqegeeeesge  ca6fbdp7f6nob7tqicst6qbl7hhb vnfcr6d6buzfeso6undzz67lqqmir7i666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.1632156,-17.669357
6c6566646e68726d68747574757a626e69616f756e6c70756e6867616c6d6365637166657a656676616d6475636963 7475696d616170736762756d7370746d687a62696f7175 727a676969756563616e7664726f65666c6f7a6466626e67686e656c62636c6366727a6c76 6f63766f6772757267637663726d6c69767062636376646471736f766c6e677564767071756e7a69696775636d696970726d7266 7a6c617062696f6d707a6974716f6f7362687464666863,6flfnhrmhqutuzbhioo77l6unhgalmcecqfezefvemdui6  tuem64p6gbumspdmh66cqqu rz6ifuecanv7roeflozd7dnghnelbclccczvv ocvog7fggcvcrmlivpeecvddqsovfngudvpqunzi6guum6aprrrr zlapbiompzptqoosbhtdhhcc 666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-5.998256,-11.589549
656d7561623f70636540647a6b2d616c7471724076736e7a71686f79646565696171666375 676e7669676e6572712d6e6269696d65746a72706a647569676272656877726b65 6d6670726e736d70647665766275736264696e6d67656661657667726d6d6d6c6662676e757474726366 756c6172696c65656c756169736e6675736875756e6166746d6263617373 6e636863696d66656969756e6f6e646474736365686f6e6e616d71736f73696e6666666e6f7661,6maabhpc  dz lllnrrvvsnz6h6ydeeiaqgc   vergnerq-nbii7etjrpjd6igbrehwrky mppdnsmpvvevbu7b6nnwgeffevgfmlmlfbgyutrrcf  lari6aelueisnfusmuefaftm6fass nnicimf6iiunon6dts6ejon6amisosinf6f6ova  6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-5.8478827,-12.000152
717067726c6c766566757a677064706768647a686861696966 73726164767672757a7a74627070696d69766264617063746171726265717a71707a62636c7366636c 636c747362697a65737a6d7363676670626266627171736d6c6d616e75637469717367617a64706569726c74646367706f61 7a706e7a6366767474686562626565746e677274696d74676d75746e75686e716e71767a6576667a6876657367657a686475696c746d67 6563726867667666686e73696f6c6d666f616461736f6664716571687574616174666c677363646467667276627575646c,6zgll6eefuzg6g6gdd7haaiif snddvv6u676bppimiv6dapctaqr76qzq6zb6effcl  ttsb6ze6zmscgfpbbfbqqsmnnnnuc6aqsga7epe6r7tdcgpda zpnzcfvttce6eeenggeiimtgm7tnucnqnvvzevfzhvesgeehduiltmg ec6hgf7th6siolmf7adasoczqeqhutd77flgscdd6frvbu6dl  6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-5.9888344,-12.290552
627a66766e6f616c76666272756f676d6e6c676174626867666175756863686f72766d626164676774646f746d74736c64646c716264656669 733f70407a6967777569716d6270616f7a7076736c657a736c6c6171756f726f7a2d237675686a717a7074772365726f7a6165706672666a7467 66646e726c6569737a68677473616365766e6472766363717a7a706f7a757461616e76617672626276646972697071646e666d7075696f72706f75 6872666c63646473666876767265717a696276697a7468 6f6568756561686269766e687176716e65636266,6vvnn66vvfbruo6m6lgatbh7f7uuhchor7mbadv6aaffmtsldd6qgdeei s? 6zi6wuiqm6paozpvsmezs7l6quoroz-#vu7j6zptw#eroz6epfrfjtg  dnrle6sz6g6sacevadrvccqq7pozutaanaavrbbvd7rip6dnfmpuiorpmu rffl6assfhvv6fiiiizitth oehneahbhvnhqvqn6cbf7r6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.1597176,-19.403118
67696761756d70756f726e626e7267716c626562687166766f756c686272706d7171746f646e7564717473757a6862 676f736e63746963626571646e676e746c6d6c7362727673646c6f7663706c66687061736c63687a7a6c 626f687a7362766c6d73767462746f617563716d72766967656471687476616f767a727572626870676f76617a696c6f767672757074717a6175 706c696465766274616f6171716c6d757a6c766f6475716f7370627466687161736c 6462637a697371646e6270706273717168706172706c6c6968686c626873726d65696475726e6c6964637668726c7a767172726972,"6agaum6uorn6nrgq6bebhqfv6ulh7qp7qggodn66qtouzhb6aonncticbeddngctl6ls6rvddlo7cplf6pallchzzl bohzs6v6msv6oooaucqmr6i6edqhtvaovlrur6hp7oaa7ilovvruptqz
u  acdcv6t7avuqlmu66ooduqof6btfhqa7l d6zzi6q6n6pp6sqqhaar6lllallbhs7meiduenlidchhrl7vqrrirrr66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666",0,0,-5.9340096,-12.1892605
74636e7366646667656673676f6665626974666d737a74756667616d68716770636170717a7662636d68626669717162626d70 69696273617065756e616e71666f66696870706372666d686f696d656d696f6169727a6361707370716c647471 71756e69716475637369707371726972716873706e617164656c6e6f766169696874726e6f6562616d647a7175706d656e72696d72 6e687470676d76716d687368687173686c747162747a 7264696f6d736373616c6d6169746470686f636464646c71666f7a21686474756f69677266746c736764406e73746c64,6ffsfdfgefsgobbb7tfmszfufgam7a csapqzf6fm6bfiqqbb p  obs3pe4nanqfofihp6crf7hoimimioiir7 apqpdldtq  2niqduc6i6sqri6qhzpn6qdeln6v7iah77no77amdqq6pmenriqr6nhqqmmvqmifhq6slltqbtf  eiomscsa6aait6phccd6llqcoz76dto7grztlsgd7nstld7766666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.2744756,-21.477442
6e71647a6d6465657070716f68766f67737064697067697a71726d647275 617a67736d6371696e64616269636f62737a756c6d7266656362646361646d61686c737a6c656f746675746c756572636664 40776f6d626f70676d6c6c6e686763726d6f78646e6f6966696e6976716823756476667a6874727866657175626f727665666f6763616a7275637a75 69667565717a6c6d6574766176737a6f666e616272636f6f68716c6267716965736d6964677171717276737167636d6c 6e7070626870626874656974727a696e666375637a,"6przmd6ep7ohhvogsp7i6gizqcm6raaaz6mmcqinda7icobs7llmr7ecbdca7mahls6leotfut6u6rcfd @wfmb6mgml6nggnr7oxdnhifinivqh#udvf7htrxf6quboreefocc76rucz6cifueq7lfrtvavszofn6brcoohq6fiidiimidgeqrrqsqgc6l6nppbhpbht
ttrz6nfc66of6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666",1,0,-6.674086,-26.483095
6371686865736275756864756476667270626d706c6d69736d6e677174646d6d76746d7664627272626972616d666e646464 6473656176636f746265627269656d75626a79656e74686f64626f72696b2372 687576696472696f61726f7262757a686f6e706e7a6c6c6774616c6e6e6d61686c6d6667746d72616d7a636971756c6f6968647661746d616666756e 73656473677466627a677a63616c69757a6d6d667164707163737a6d63667669727161727671726e697a726d66676e676d646c62626972747a6671 6e6e6675766670777a6576757562707679676c7465676f7067637a7a6d626a7a6c716e686272716c6c6c7a7a6867666f747264756f762166766e66,6qhh7sbuududvfrpbmplmismngqtdmmvtmvdb7iiiramfnddd ds7avcoteeb6eemub7yen6hodbo77k7   odidrioa7orbuzhonnzzllgtannnmallm6gtm6amzcifueoihdvat7affun sedsgtfb6gzcal6udmm6qdp6gzzmcfv76qar6nrnzzrmfgzgmdl7birtzfq nffudfpwzevu6b66y6lteg67gczz4b6zlq6hb6ql7lzzhg6urrduovfvvnf  666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.438866,-26.31019
686d666d63716e71747a646770657174677a76647675636270627064667375657668746c7470727a70746e68687a7469 766f646571696d666f636f72666d64726165756c766568716965616e70 6c75677a69706f767468676f656767736d61677275646c6d75677a6563636675626e69616c7067686c65716566686e6667757a6f656f7574 6871677261696861617162716e7265747a6e6664726d6973736e6e70737a62737168627563626661707376 746e6365726c65636973687470617176726c6c736267616d73667475746170627371766965717a6f6d6d6476676770616c7162756e69,6mfmcq6qtzd6qqqfzzvdvucbpbpff6ue7htltprzpt66htti6vod6qimfoco7fm66aeu7vehqieann lugzipov6hgoegismag6ddl6agzeccfubna6lp6666eefh7f6u6eeoui hqgraahaaqbwn6etznf6ami6snnp6zbsqhbucbnapsv tncer6ecishtp6qvrllsbgamsftl7aassvhhnqzommfaazzllqbqni l666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.4184666,-11.555426
75736369737465696d73647573636f6964616d62767a746c626c6e67 76637a616267757a6662626f6661716d63616769637068656d6767736275626f67757263656e 667a746e6874626266627a626f7571756e616964757463626d676d62656d646c63666661646662646669646d706963617568696e6f636c7271 707466407468747675786c62667563667972707470616e686b7164736772697374756d646869647a756a677965 676d6965756c667465646163696874747170637571727066766d706c6d667a6f68756e,6ccis7amms36cciida7avzt7bln  vch4bg6bbboof6qmca7ichhem6ssbubogurcy   znhttb63bzbouiffaidctcbmgmbemdlcffadfbdfidmricauhhcoil6q ffbhtvtvu67bhuccyrptlanh66d6rritumdhgd7u7gy  giiculkteeacihttcpc6qrpfvm6l7dzohh6at666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.077837,-13.28096
6368616569766e6466647a72636f62656363636d68627163676d6167646372727064677a6866727463626c7568656e73736c63 6f676e717274746d67626d6776706c6c7176757a74627667696768656d6365766d6963706f706970636f6275 746370687361636f7a706e746e7171707164756f7666616d756f6171736e616f66726466616c6576 6d6e687a676267667171736268706274766f7063 75686f7a7a6f617a627a75616e6d656968657a707072726f746e6261716572746f6c6f637176626c7468686f666174626d61,6iezzc6ffd6ccdbedcmhhbqc7magccr6pdgz6fr7c7luhensllf og74rttmg6mgvpllqvuztb7gighzmnaiiscpopipcobu tcp7saco7pn6nqqpqd7ovfa77o7nsnahcdaaa6cv mnhzgb7fqqsbhppt6ccciuhhzzo6zbzaanme6hez6rrrttn7aq6rtolocqhbhhhofatbma776666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-5.70695,-12.676776
6d72716e6964717473746f616e6f70706e716768616d6c7a62746c7673766c74637463736f706369656f72626763716e616466766c7276766e 626c766166726f6e637071746472696f76666d71646e73677365626f76736c626963666f716c63 7567686d647a7a76656d6d67736c7175706e7a66757a63666869766875697568617076616d6e636c7171766e6570616267736e63656f69756f7670 746c666c6e676e6e6369757367686e71696974676267676f6d6c61666176617073676d7164646461756c666e716265747363 737571612d79406475712368777564644072796371747061697a7461757a6a7079707a4070686667686569643f7163767a6565756261707a,6gqnid7sstaanopp6ahhaml0b6ccsvltctccopc6eorbgc7aadfvlrvv   lfarrocc66cccicvf6dd6sgseb6vslb6c7alcc  qmedzvvemmgs7qup7zfu6a6uiv7uiua6pvamncl7qvne6fbgsncioiu7vpf ffannnccius7hn6iitgbggomlhfavap7amqddda7af7qbe6sc suqa-y@dufah7udd6rycqtaa76tauzjpyp6@phfgheid6qcvz6eub66c a66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.4751964,-18.993366
6961667a61657361726470676765727261756e6f626f61636463 6d61706d63757a6867646362756d6375656168767172656864656d 726d64736566696d63676466686367746e74716f63686666617a6c707571696f6174737167756467726462727072717a72646c6576767a7a6472 667a687a74756d7276647068766173696f726f63637576 71696271666773677a7465736568736166736c726d7a756169666f616c706364616971647367756170637a677676,6afzaesardpggrrrannoboacyc mapmcu7hgdcbu7cueahvqcehdmd dmd6efi6c6d6hcgtntq6chffazmpueio7tsq6ud6dd6ddrzzrdlevzfzdr fzh6fumr6ap6aasioroc73v qifffgsg6tes77aa6slrmzuaifoal6cdaiqdsg6apcz46   66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.289621,-11.980295
64716e7a7473686376636174756274737a737a6c726d6f6470 6672667363767a76637171706d68646c67677a72767576636972616664636c6e716967676469626e7672747a716e76 7a686d63707374767162676761726873686c74686d6e7a62696965687261716f727068656f716c677174626d7a 657473696e76717074687670706c65687665756771 676663766d6169686d69706c7374686d7a61736c726d687a62726c7476666e6372617675696e6e6e736d6c656f646973767363627a766d727a63,6cfvvvclv6atub66zsz4r6pppffrfscvzv7q6pm6d6g6zr6uv7i6afdcl7qiggdibnvr7zqnv zhmcpstvqb7aarhshltomnz6iiehraqgrpdeoqlgitbh1 ecchvnqptlvpeleeveudq gfcvmaihm6plithzzas36mzzbr77ncczrav7inn6smleoiiIvsc66vmrzc  6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.0953383,-26.427198
7368696c706c7268686f7471707374707664666c6476706565686c7463756d64766d736264636e747668766c716e 767261627a6d646163686e647273656d70646561617166646e636e61 706f64626d726d70686176676e7376666d766570647a696767646e7271656c707576697461717a736d70617475697474736270 706c7476676762636169756f697366696176736768677a736d707470637a747a71736c6c7072666f6c686c677a7a706171646173746867736672706e 6c6a74657a2d686a406970736664657a706c746771666665686963726e2d6566736f726472697376687165727a747467736e75646a6f6662,6hi6arhhootq66fpffflvvp6ehnt6umd6m6b6cntvhvlnn vrazzm6achndrsem6de6qqfdncna ponbm6aph66g6fvemvepdzi7ddnrqelp6v6taqzsmpatutt6bp  ltvggica6aiiagdhvsghzzsmptpczt6qsl666folhlgzzpaqdashhgsfrpn ljtez6hj@ psfdezpltfffeedicrn-efsordri6vhqe6z6ggsnu6jofb  6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.153216,-13.148062
726c6d636e6570696969747067637662667566736f6e 697476696c646f6f756c74636c6263766d6e6c717672 697262667062726c707372706c676c6c727263617062627269657467726c70696662646873646d6f65 67626161676465647075746f696f62666e656574736467636276 61737673697a6d766f6f726c7476616670716e616c6d66636370,6lmnnepiittpgcvfufson  vv6ddooultclbcv6nlqv  irb6pbhl6lrplgllrr6apb6riet7rlpiwphodvove  baagd66pu6iiobfn6etsdg7bv7asvs7zmv7orltvafpqnalmfcc6i 666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.0953627,-12.390329
7272716f656266716e6c6d6f766d6e6670657674716870646474736f6567 687a72646969656964726f6871657471766f7a62766865616670736871736970697670626f64726f69657a7672726e7272756c647361706f 7070726572766472626e6c7a757a65706169707062746369657562726464677567686d63767566726d73736e6c6e7475767261726f 72696374636168676f6161726d64736964636963686e64666468756e766866666d6269746267716665627669737375696d627676737a73 74706169737369666474636e65756c6f7073657173706974,6d4lllfqnl6ovm6epev7qhpdttsoe7  erdiieidro7qeaqvozbwhea6pdhqsiqivpbodr6iezqrrrr44lds6po pprervdbbnlzuzepaip77tch6ub6ddgugh7cv7ssodsnlntuv66oo rict7ah7aarmdsi6cichzdfdhu6vh777b7tbgqf6  issnimbvvs7   piissifdtcneulqpseqspit77666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-5.973238,-12.66926
7a7669626f706767737668616e7269646f6e637a7373746c61 62666d62697a736f65667674736474707073666d706f646274766964736f717475667575666e687a7265766c6e6c6f63647a6f64 63686c6265746c62676f65756c657664706676616f7065747a7061647a706c71667a626f75756e 7665717369706e656264737268646662706d6d716473726d6775626c63667566676c686e6265 746666756e70726f7472687269676e6f736869736f6c66716173727069746f6e6867757a61666865666671646376,6v6efcessvhanr6donc6sllla bfmbizso6f6asdtpps6mpodbhv7ss7q6ffuu7p6eddfdolocdzodchlbell6goeu7ev7p7 aopet aadzplqfz e  eeeefsipnebdsrhdfbpmmq6frmgibhciu66lhnbe fff6pp7odhhiig7oshisolf7as6pitohhgoaa7fef7qicvde666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-5.9994016,-18.510498
6376716c62767a726175756d65656875766d6c657569677574 6f6e6e6871646d667a752d6d72647564646e697a77696e6c746e62647178757668756540706d62637661 74747a6272646f636e7a69706f666c706e62676f756e69746c7a6461686970 62686c71637164716776756971636c74776e6f696c636e65727565237364 656f6364716372686772756e70717a726f6f7a726e65646e677565636973646c66666773626e6e6469746c70636c7068656d6f,6v7lbvzr6uueeehuvmleuiguf7on6hqdmfzu6mrduudnizin6t7edqxuvhue@pmb6va  zzrr7ocnzzp6llpn6gou8itlzda76p7hhqqcqqdgvuiqqltwnoilcneru##sf eocdqcdhg6ufp6z6ooz6ne6ngue6is7lfffsb6ddit7aclp6emofl666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.6587834,-18.40692
74766d61656468737a6f666868646374727a68757271736e6e6e666568677063637663736466626e766e6172676e72646e 6d61696e656f7a7066696676687a216c6c64656668677475626e69636672676c796a666d6c6e6d74667067636f7a64756e6d217170616872 75676e647a727a68746f6662616c6470736f6f6f6d61757374677172636c637570736565 6867636e6c69676c746971216c7070616c636c6d72 7271647068647a6c7a6b6774216e666c7078646e40727968677578647a6c727a667a6767,66maedhszo6hhdctr7hur6snnnfehgpccccsdffnmaaagnrdn miineofpf6fvhz!lldffhft6nnicf6glyjfmlnmtppg6czd6nm!qpflcuugfzzrzztof7lldpsooo7austgqrcccup66mhhgccligltiq!lppalcl7r qqdp66zl666tl6fl6x6n@ryhguxdz4rzfzgggg66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-5.8901577,-18.142431
737465717163716761736d767167686869636465 7066687a71706f6976646766636c70767173766e6465657467 69736765736e676d7269646d73646363746c6d74676475726266616773666c70746d6f696c706965687a74 7a71627575696863677664706e61646f726d6c6173767a64646361 64636d6470707661697667706161706572617a6c717172686e6f647a72647a,6eeq7cqgas76qghh eee pfhqq6fvdd6ccl6v7s7dddetg isgesn6mri6ms6cctlmtgdurbfags6lptmoilpiehct  cuuuihcgvd6nador7l6vvzddca dc63ppvaivgpaaee7a72qqrhoodzrd   666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-5.759038,-13.336118
75706c617276686d6166617a66736c736e726766696875767a667164737063686575646c686c 747a71636475746c62736776616369697368716e646d6262716f736d6f6267636c6966707372656862706f616163696265 64716f6d71696769676d64696370626971707a6c6d7a677072626668666c6f626c61616c75696c696170727171746f736e696863 746d66616261766d64746c6d7573647469646c696d6567717175756d7a656d6d626e62646c6276617a7a686573727a6c73706f617a72726661686175 676569707468686e66627262617a7069636770737a,6glaremafazf6lszrgfihu67fqdspcdeudlhl tzccdutlb66f66ifshqnd66boosm6bgcl6fps6bbbooaaiibeddqomqigi6m6i6pbiqpzlm6gprb7hflollaamuiliaprqqtonihcc6maa66vmdtlmu6dtidlim6g6uuumze6bb6b6bbv7zzhesr6lspoazrrf616u geiathhnfbr0a6accgp6z6b6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.1710434,-12.346485
